bool	control_negative_boollt_vs_c_boolle	must-fail negative control; coverage not applicable
char	eq_char_text	recorded wall (SUITE row); fleet-bound
pg_lsn	control_pg_lsn_out_mismatch	must-fail negative control; coverage not applicable
pseudotypes	eq_cstring_in	manifest bookkeeping row (BAD-MANIFEST-ROW class)
pseudotypes	eq_cstring_out	manifest bookkeeping row (BAD-MANIFEST-ROW class)
pseudotypes	eq_pg_node_tree_out	manifest bookkeeping row (BAD-MANIFEST-ROW class)
pseudotypes	eq_pg_node_tree_send	manifest bookkeeping row (BAD-MANIFEST-ROW class)
pseudotypes	proofs::control_shell_in_wrong_sqlstate	must-fail negative control; coverage not applicable
scalar-misc	control_charlt_vs_c_charle	must-fail negative control; coverage not applicable
pseudotypes	proofs::control_cstring_recv_c2s_skew	must-fail negative control; coverage not applicable
pg_lsn	wave5::eq_pg_lsn_recv_core	recorded wall (SUITE row); fleet-bound
pg_lsn	wave5::control_pg_lsn_send_skew	must-fail negative control; coverage not applicable
bool	wave_sendtext::eq_booltext	recorded wall (SUITE row); fleet-bound
bool	wave_sendtext::control_boolsend_negate	must-fail negative control; coverage not applicable
char	wave5::eq_charrecv_core	recorded wall (SUITE row); fleet-bound
char	wave5::control_charsend_skew	must-fail negative control; coverage not applicable
pg_lsn	eq_pg_lsn_in_accept_8_5	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
pg_lsn	eq_pg_lsn_in_accept_8_6	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
pg_lsn	eq_pg_lsn_in_accept_8_7	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
pg_lsn	eq_pg_lsn_in_accept_8_8	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
pseudotypes	proofs::eq_void_send	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
scalar-misc	eq_chareq	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
scalar-misc	eq_charne	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
scalar-misc	eq_charlt	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
scalar-misc	eq_charle	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
scalar-misc	eq_chargt	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
scalar-misc	eq_charge	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
scalar-misc	eq_btcharcmp	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
pseudotypes	proofs::eq_cstring_in_spot_empty	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
pseudotypes	proofs::eq_cstring_in_spot_len1	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
pseudotypes	proofs::eq_cstring_in_spot_len3	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
pseudotypes	proofs::eq_cstring_out_spot_empty	proof-covered-unmeasured (policy 5b2646b127: per-crate kanicov re-runs retired mid-capture; proved ledger row stands; full-tree pinned-sha join settles line credit)
