family	harness	wall_s
text-slice	wave8::eq_bytea_larger	40
text-slice	wave8::eq_bytea_smaller	40
text-slice	wave8::eq_textout	61
text-slice	wave8::spot_textin	20
text-slice	wave8::eq_int4_bytea	111
text-slice	wave8::eq_int8_bytea	111
text-slice	wave8::eq_int2_bytea	121
text-slice	wave8::spot_unknownout	10
uuid	wave5::eq_uuid_recv_core_d0	391
uuid	wave5::eq_uuid_recv_core_d10	331
uuid	wave5::eq_uuid_recv_core_d1	422
uuid	wave5::eq_uuid_recv_core_d11	432
uuid	wave5::eq_uuid_recv_core_d15	301
uuid	wave5::eq_uuid_recv_core_d12	432
uuid	wave5::eq_uuid_recv_core_d13	431
uuid	wave5::eq_uuid_recv_core_d16	331
uuid	wave5::eq_uuid_recv_core_d14	371
uuid	wave5::eq_uuid_recv_core_d2	432
uuid	wave5::eq_uuid_recv_core_d17	482
uuid	wave5::eq_uuid_recv_core_d7	331
uuid	wave5::eq_uuid_recv_core_d3	432
uuid	wave5::eq_uuid_recv_core_d4	432
uuid	wave5::eq_uuid_recv_core_d18	502
uuid	wave5::eq_uuid_recv_core_d8	331
uuid	wave5::eq_uuid_recv_core_ok16_0	291
uuid	wave5::eq_uuid_recv_core_d5	441
uuid	wave5::eq_uuid_recv_core_d6	442
uuid	wave5::eq_uuid_recv_core_ok17_0	321
uuid	wave5::eq_uuid_recv_core_d19	552
uuid	wave5::eq_uuid_recv_core_ok17_1	321
uuid	wave5::eq_uuid_recv_core_ok18_0	351
uuid	wave5::eq_uuid_recv_core_ok18_1	351
vector-io	proofs::eq_i2vin_len0	50
uuid	wave5::eq_uuid_recv_core_d9	441
uuid	wave5::eq_uuid_recv_core_ok18_2	351
vector-io	proofs::eq_i2vout_n0	40
uuid	wave5::eq_uuid_recv_core_ok19_0	381
uuid	wave5::eq_uuid_recv_core_ok19_1	381
uuid	wave5::eq_uuid_recv_core_ok19_2	381
uuid	wave5::eq_uuid_recv_core_ok19_3	381
uuid	wave5::eq_uuid_recv_core_ok20_0	421
uuid	wave5::eq_uuid_recv_core_ok20_1	421
uuid	wave5::eq_uuid_recv_core_ok20_3	421
uuid	wave5::eq_uuid_recv_core_ok20_4	422
vector-io	proofs::eq_ovout_n0	50
vector-io	proofs::eq_i2vout_n1	241
xid8snap	proofs::spot_parse_empty	10
vector-io	proofs::eq_i2vout_spot_mixed	241
vector-io	proofs::eq_i2vout_spot_bounds	291
jsonb-probe	proofs::eq_jsonb_int8_w4n5	361
