function	c2rust_loc	our_loc	verdict	perfect_match	note
JsonbToJsonbValue	backend-utils-adt-jsonb-core/src/jsonb_util.rs:72	crates/backend-utils-adt-jsonb-util/src/lib.rs:161	MATCH	yes
JsonbValueToJsonb	backend-utils-adt-jsonb-core/src/jsonb_util.rs:92	crates/backend-utils-adt-jsonb-util/src/lib.rs:177	MATCH	yes
getJsonbOffset	backend-utils-adt-jsonb-core/src/jsonb_util.rs:134	crates/backend-utils-adt-jsonb-util/src/lib.rs:225	MATCH	yes
getJsonbLength	backend-utils-adt-jsonb-core/src/jsonb_util.rs:159	crates/backend-utils-adt-jsonb-util/src/lib.rs:240	MATCH	yes
compareJsonbContainers	backend-utils-adt-jsonb-core/src/jsonb_util.rs:191	crates/backend-utils-adt-jsonb-util/src/lib.rs:1241	MATCH	yes	bool/array/object/raw-scalar ordering; empty-array quirk; do/while -> loop
findJsonbValueFromContainer	backend-utils-adt-jsonb-core/src/jsonb_util.rs:348	crates/backend-utils-adt-jsonb-util/src/lib.rs:1319	MATCH	yes
getKeyJsonValueFromContainer	backend-utils-adt-jsonb-core/src/jsonb_util.rs:402	crates/backend-utils-adt-jsonb-util/src/lib.rs:1368	MATCH	yes
getIthJsonbValueFromContainer	backend-utils-adt-jsonb-core/src/jsonb_util.rs:472	crates/backend-utils-adt-jsonb-util/src/lib.rs:1423	MATCH	yes
fillJsonbValue	backend-utils-adt-jsonb-core/src/jsonb_util.rs:509	crates/backend-utils-adt-jsonb-util/src/lib.rs:266	MATCH	yes	numeric reconstruction length bit-identical (verified by roundtrip test)
pushJsonbValue	backend-utils-adt-jsonb-core/src/jsonb_util.rs:570	crates/backend-utils-adt-jsonb-util/src/lib.rs:329	MATCH	yes
pushJsonbValueScalar	backend-utils-adt-jsonb-core/src/jsonb_util.rs:644	crates/backend-utils-adt-jsonb-util/src/lib.rs:414	MATCH	yes
pushState	backend-utils-adt-jsonb-core/src/jsonb_util.rs:735	crates/backend-utils-adt-jsonb-util/src/lib.rs:526	MATCH	yes
appendKey	backend-utils-adt-jsonb-core/src/jsonb_util.rs:750	crates/backend-utils-adt-jsonb-util/src/lib.rs:538	MATCH	yes
appendValue	backend-utils-adt-jsonb-core/src/jsonb_util.rs:779	crates/backend-utils-adt-jsonb-util/src/lib.rs:562	MATCH	yes
appendElement	backend-utils-adt-jsonb-core/src/jsonb_util.rs:792	crates/backend-utils-adt-jsonb-util/src/lib.rs:572	MATCH	yes
JsonbIteratorInit	backend-utils-adt-jsonb-core/src/jsonb_util.rs:821	crates/backend-utils-adt-jsonb-util/src/lib.rs:603	MATCH	yes
