1	watchid	8	t
2	javaenable	2	t
3	title	-1	f
4	goodevent	2	t
5	eventtime	8	t
6	eventdate	4	t
7	counterid	4	t
8	clientip	4	t
9	regionid	4	t
10	userid	8	t
11	counterclass	2	t
12	os	2	t
13	useragent	2	t
14	url	-1	f
15	referer	-1	f
16	isrefresh	2	t
17	referercategoryid	2	t
18	refererregionid	4	t
19	urlcategoryid	2	t
20	urlregionid	4	t
21	resolutionwidth	2	t
22	resolutionheight	2	t
23	resolutiondepth	2	t
24	flashmajor	2	t
25	flashminor	2	t
26	flashminor2	-1	f
27	netmajor	2	t
28	netminor	2	t
29	useragentmajor	2	t
30	useragentminor	-1	f
31	cookieenable	2	t
32	javascriptenable	2	t
33	ismobile	2	t
34	mobilephone	2	t
35	mobilephonemodel	-1	f
36	params	-1	f
37	ipnetworkid	4	t
38	traficsourceid	2	t
39	searchengineid	2	t
40	searchphrase	-1	f
41	advengineid	2	t
42	isartifical	2	t
43	windowclientwidth	2	t
44	windowclientheight	2	t
45	clienttimezone	2	t
46	clienteventtime	8	t
47	silverlightversion1	2	t
48	silverlightversion2	2	t
49	silverlightversion3	4	t
50	silverlightversion4	2	t
51	pagecharset	-1	f
52	codeversion	4	t
53	islink	2	t
54	isdownload	2	t
55	isnotbounce	2	t
56	funiqid	8	t
57	originalurl	-1	f
58	hid	4	t
59	isoldcounter	2	t
60	isevent	2	t
61	isparameter	2	t
62	dontcounthits	2	t
63	withhash	2	t
64	hitcolor	-1	f
65	localeventtime	8	t
66	age	2	t
67	sex	2	t
68	income	2	t
69	interests	2	t
70	robotness	2	t
71	remoteip	4	t
72	windowname	4	t
73	openername	4	t
74	historylength	2	t
75	browserlanguage	-1	f
76	browsercountry	-1	f
77	socialnetwork	-1	f
78	socialaction	-1	f
79	httperror	2	t
80	sendtiming	4	t
81	dnstiming	4	t
82	connecttiming	4	t
83	responsestarttiming	4	t
84	responseendtiming	4	t
85	fetchtiming	4	t
86	socialsourcenetworkid	2	t
87	socialsourcepage	-1	f
88	paramprice	8	t
89	paramorderid	-1	f
90	paramcurrency	-1	f
91	paramcurrencyid	2	t
92	openstatservicename	-1	f
93	openstatcampaignid	-1	f
94	openstatadid	-1	f
95	openstatsourceid	-1	f
96	utmsource	-1	f
97	utmmedium	-1	f
98	utmcampaign	-1	f
99	utmcontent	-1	f
100	utmterm	-1	f
101	fromtag	-1	f
102	hasgclid	2	t
103	refererhash	8	t
104	urlhash	8	t
105	clid	4	t
