556	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
557	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
558	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
559	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
560	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
561	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
562	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
563	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
564	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
565	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
566	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
567	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
568	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
569	class mismatch - deliberate unreachable panic stub filed as platform-other not a platform arm
7369	kani-measured in fulltree capture, convert per fulltree-join rule
7370	kani-measured in fulltree capture, convert per fulltree-join rule
7371	kani-measured in fulltree capture, convert per fulltree-join rule
7372	kani-measured in fulltree capture, convert per fulltree-join rule
7373	kani-measured in fulltree capture, convert per fulltree-join rule
7374	kani-measured in fulltree capture, convert per fulltree-join rule
8297	measured double-count - fuzz
8298	measured double-count - fuzz
8299	measured double-count - fuzz
8300	measured double-count - fuzz
8337	FLAGGED fuzz-measured double-count: line 112 is hashtext_nondeterministic fn signature, a dispatch gate executed on the deterministic fuzz-covered path (3 fuzz lcov artifacts), not the nondeterministic arm
8338	FLAGGED fuzz-measured double-count: line 113 (collid param) same dispatch-gate signature, fuzz-executed under deterministic collations
8339	FLAGGED fuzz-measured double-count: line 114 (data param) same dispatch-gate signature, fuzz-executed under deterministic collations
8340	FLAGGED fuzz-measured double-count: line 115 (seed param) same dispatch-gate signature, fuzz-executed under deterministic collations
8341	FLAGGED fuzz-measured double-count: line 116 (return type) same dispatch-gate signature, fuzz-executed under deterministic collations
8342	FLAGGED fuzz-measured double-count: line 119 OidIsValid check runs on every hashtext call including the deterministic fuzz-covered path
8343	FLAGGED fuzz-measured double-count: line 120 invalid-collid error return, fuzz-measured per lcov artifacts
8344	FLAGGED fuzz-measured double-count: line 122 collation_is_c_known_pub check runs on every call, taken on the deterministic fuzz-covered path
8345	FLAGGED fuzz-measured double-count: line 123 Ok(None) return is the deterministic C-collation exit, fuzz-executed
8414	kani-measured in fulltree capture, convert per fulltree-join rule
8435	FLAGGED line drift: line 714 is the empty-needle early return of text_position_next, reachable regardless of encoding, not the is_multibyte_char_in_char refpoint-retry construct the justification describes
8956	FLAGGED-c-citation-mismatch: row says no C counterpart check but vendored rangetypes.c:2793-2796 carries the identical elog cannot store a toast pointer inside a range - the detoast_bound_packed fence argument itself looks sound but the C description is wrong
9004	FLAGGED-line-drift: ops.rs:334 is the UnionResult::New construction line of range_union_internal, not the Input1/Input2 empty short-circuits - those are lines 316/319 and are runtime-reachable anyway via fc_range_merge builtins.rs:361 with an empty operand
9023	FLAGGED-fence-does-not-hold: multirange_intersect_internal has a second live caller fc_multirange_intersect_agg_transfn at builtins.rs:327 with no empty pre-check, so lib.rs:834 executes at runtime for range_intersect_agg over any empty multirange input - the row itself admits this caller and waves it off as an out-of-scope carve, which is not a structural fence
9200	FLAGGED-line drift: io.rs:114 is uniqueentry dedup (res += 1) which is input-reachable; the justified post-gettoken soft-error backstop now sits at io.rs:97-101 (error_occurred return)
9204	non-v2 off-denominator
9205	non-v2 off-denominator
9206	non-v2 off-denominator
9207	non-v2 off-denominator
9208	FLAGGED-line drift: justified at-end arm (returns 1) is parser.rs:90; line 92 is the reachable pg_mblen call taken on every non-at-end mblen
9209	non-v2 off-denominator
9210	non-v2 off-denominator
9213	FLAGGED-line-drift: parser.rs:166 is return Ok(Next::Tok) - the reachable normal token-end line - while the empty-word syntax_error the justification describes sits at line 164
9214	FLAGGED-line-drift: parser.rs:171 is if self.oprisdelim - a reachable dispatch line - while the empty-word syntax_error the justification describes sits at line 169
9220	FLAGGED-C counterpart carries no equivalent check: ts_type.h is a header domain contract and C reads QueryItem.type via unchecked struct pun (nearest C guard is the consumer elog default arms already ledgered separately)
9236	non-v2 off-denominator
9243	non-v2 off-denominator
9349	FLAGGED-input-dependent-not-structural: the slen > i32::MAX/100 arm at pglz lib.rs:322 fires for any compress input over about 21.4MB, trivially constructible via large toast values - the justification is a fuzz-cap infeasibility argument, not const-decided or structurally unreachable
9350	FLAGGED-input-dependent-not-structural: same arm as 9349 - reachable with any pglz input over about 21.4MB
9351	FLAGGED-input-dependent-not-structural: too_large fires whenever encode/decode resultlen exceeds MaxAllocSize, reachable with inputs over about 512MiB - a genuine user-facing ereport path in C, gated only by fuzz input caps
9352	FLAGGED-input-dependent-not-structural: body line of too_large - same reachability as 9351
9353	FLAGGED-input-dependent-not-structural: body line of too_large - same reachability as 9351
9354	FLAGGED-input-dependent-not-structural: body line of too_large - same reachability as 9351
9355	FLAGGED-input-dependent-not-structural: binary_encode too_large call site at lib.rs:86 - reachable with a bytea over about 512MiB hex-encoded
9356	FLAGGED-input-dependent-not-structural: binary_decode too_large call site at lib.rs:104 - reachable with a text input decoding past MaxAllocSize
9467	measured double-count - kani
9617	FLAGGED misclassified: line 334 is const fn b, the generic non-SRF builtin-table constructor serving all int8 builtins, not the generate_series SRF or support construct
9618	FLAGGED misclassified: line 335 FmgrBuiltin literal open of const fn b, not the SRF construct
9619	FLAGGED misclassified: line 336 foid field of const fn b body, not the SRF construct
9620	FLAGGED misclassified: line 337 name field of const fn b body, not the SRF construct
9621	FLAGGED misclassified: line 338 nargs field of const fn b body, not the SRF construct
9622	FLAGGED misclassified: line 339 strict field of const fn b body, not the SRF construct
9623	FLAGGED misclassified: line 340 retset false field of const fn b body, marking non-SRF rows, not the SRF construct
9624	FLAGGED misclassified: line 341 func field of const fn b body, not the SRF construct
9625	FLAGGED line drift: line 346 is the INT8_BUILTINS table declaration head, the srf(1068) row the justification names is line 347, off by one
9630	measured double-count - kani
9631	measured double-count - kani
9654	recv fcinfo wrapper (fc_bits_recv/fc_bit_recv/fc_varbit_recv) not executed by any proof - the varbit-rows recv harness calls adt_varbit::bits_recv core directly so only 903-926 are proof-covered
9655	recv fcinfo wrapper (fc_bits_recv/fc_bit_recv/fc_varbit_recv) not executed by any proof - the varbit-rows recv harness calls adt_varbit::bits_recv core directly so only 903-926 are proof-covered
9656	recv fcinfo wrapper (fc_bits_recv/fc_bit_recv/fc_varbit_recv) not executed by any proof - the varbit-rows recv harness calls adt_varbit::bits_recv core directly so only 903-926 are proof-covered
