# Reviewed per-line exception rows for adt/jsonpath_exec (p1-laneaa-exec
# coverage close-out). Consumed by emit_exceptions_laneaa.py --manual-file.
# columns: basename<TAB>line<TAB>class<TAB>c_counterpart<TAB>justification
#
# DATETIME-CARVE RESIDUALS (class excluded-state): the claim rules the
# session-TZ datetime family out of phase-1 scope; the driver carves it at
# the parsed-item level (path_has_datetime_item), so jbvDatetime VALUES can
# never exist in-harness. Each row below is a line whose only route is a
# datetime value or a datetime-family item type.
lib.rs	110	excluded-state	claim carve: datetime family (jsonpath_exec.c JsonbType jbvDatetime)	jsonb_kind() jbvDatetime arm: JbV::Datetime values are produced only by the carved execute_datetime_method family (driver carve path_has_datetime_item)
lib.rs	256	excluded-state	claim carve: datetime family (jsonpath_exec.c jspOperationName jpiDatetime)	operation_name(Datetime): the only call sites passing datetime item types are the carved execute_datetime_method family
lib.rs	262	excluded-state	claim carve: datetime family (jspOperationName jpiDate)	operation_name(Date): only reachable from the carved datetime-method family
lib.rs	267	excluded-state	claim carve: datetime family (jspOperationName jpiTime)	operation_name(Time): only reachable from the carved datetime-method family
lib.rs	268	excluded-state	claim carve: datetime family (jspOperationName jpiTimeTz)	operation_name(TimeTz): only reachable from the carved datetime-method family
lib.rs	269	excluded-state	claim carve: datetime family (jspOperationName jpiTimestamp)	operation_name(Timestamp): only reachable from the carved datetime-method family
lib.rs	270	excluded-state	claim carve: datetime family (jspOperationName jpiTimestampTz)	operation_name(TimestampTz): only reachable from the carved datetime-method family
lib.rs	735	excluded-state	claim carve: datetime family (jsonpath_exec.c jpiType jbvDatetime)	.type() on a jbvDatetime value: datetime values exist only downstream of the carved datetime methods
lib.rs	736	excluded-state	claim carve: datetime family (jpiType jbvDatetime)	.type() datetime carrier match: carved-value-only route
lib.rs	737	excluded-state	claim carve: datetime family (jpiType DATEOID name)	.type() date name: carved-value-only route
lib.rs	738	excluded-state	claim carve: datetime family (jpiType TIMEOID name)	.type() time name: carved-value-only route
lib.rs	739	excluded-state	claim carve: datetime family (jpiType TIMETZOID name)	.type() timetz name: carved-value-only route
lib.rs	740	excluded-state	claim carve: datetime family (jpiType TIMESTAMPOID name)	.type() timestamp name: carved-value-only route
lib.rs	741	excluded-state	claim carve: datetime family (jpiType TIMESTAMPTZOID name)	.type() timestamptz name: carved-value-only route
lib.rs	847	excluded-state	claim carve: datetime family (jsonpath_exec.c jpiDatetime dispatch)	lax array-unwrap guard inside the datetime-method dispatch arm: the arm head (841-846) is datetime-family item types, carved at the driver
lib.rs	848	excluded-state	claim carve: datetime family (jpiDatetime dispatch)	array-unwrap call inside the carved datetime-method dispatch arm
lib.rs	850	excluded-state	claim carve: datetime family (jpiDatetime dispatch)	execute_datetime_method call: the callee is a named claim carve; this dispatch line is inside the carved arm
lib.rs	1107	excluded-state	claim carve: datetime family (jsonpath_exec.c jpiString jbvDatetime)	.string() on a jbvDatetime value (encode_datetime is a named carve); datetime values are carved-route-only
lib.rs	2377	excluded-state	claim carve: datetime family (JsonbValueToJsonb jbvDatetime)	serializing a jbvDatetime executor value (encode_datetime named carve); carved-value-only route
lib.rs	2488	excluded-state	claim carve: datetime family (jsonpath_exec.c compareItems jbvDatetime)	datetime x datetime comparison pattern: both operands are carved-route-only values
lib.rs	2489	excluded-state	claim carve: datetime family (compareItems jbvDatetime)	datetime x datetime comparison pattern (second operand)
lib.rs	2490	excluded-state	claim carve: datetime family (compareItems -> compareDatetime)	compare_datetime is a named claim carve (session-TZ state)
lib.rs	2491	excluded-state	claim carve: datetime family (compareDatetime cross-type NULL)	inside the carved datetime comparison arm
lib.rs	2492	excluded-state	claim carve: datetime family (compareDatetime result)	inside the carved datetime comparison arm
