47313	74	191	2022-08-24	2020-10-03 19:51:29	2020-09-26 13:26:40	key-013	u-000047313
10313	31	191	2022-04-11	2020-09-17 22:54:13	2020-09-26 13:26:40	key-013	u-000010313
57674	56	718	2022-01-12	2020-10-08 06:49:26	2020-10-11 14:26:40	key-024	u-000057674
16273	74	911	2022-08-09	2020-09-20 13:48:53	2020-09-24 21:26:40	key-023	u-000016273
14236	74	652	2022-01-09	2020-09-19 16:18:47	2020-09-23 08:26:40	key-036	u-000014236
35527	25	689	2022-05-10	2020-09-28 17:51:02	2020-10-05 11:26:40	key-027	u-000035527
5964	47	748	2022-05-12	2020-09-16 03:23:52	2020-10-23 16:26:40	key-014	u-000005964
24017	58	119	2022-10-27	2020-09-23 21:09:24	2020-09-14 05:26:40	key-017	u-000024017
28651	36	557	2022-07-08	2020-09-25 19:40:15	2020-10-10 15:26:40	key-001	u-000028651
45773	86	411	2022-06-05	2020-10-03 03:36:09	2020-10-15 17:26:40	key-023	u-000045773
1989	49	923	2022-06-21	2020-09-14 09:26:22	2020-10-24 17:26:40	key-039	u-000001989
29943	67	601	2022-01-21	2020-09-26 09:18:31	2020-10-22 19:26:40	key-043	u-000029943
55677	96	739	2022-07-24	2020-10-07 09:44:40	2020-10-11 17:26:40	key-027	u-000055677
58893	14	251	2022-05-16	2020-10-08 19:41:28	2020-10-20 17:26:40	key-043	u-000058893
36640	71	480	2022-05-28	2020-09-29 05:35:56	2020-10-10 04:26:40	key-040	u-000036640
3861	78	27	2022-08-07	2020-09-15 05:11:58	2020-10-19 09:26:40	key-011	u-000003861
52710	39	970	2022-06-07	2020-10-06 02:25:34	2020-10-13 02:26:40	key-010	u-000052710
14851	10	957	2022-09-16	2020-09-19 22:48:17	2020-10-18 23:26:40	key-001	u-000014851
49781	20	467	2022-05-29	2020-10-04 21:54:33	2020-10-16 01:26:40	key-031	u-000049781
27460	9	220	2022-04-03	2020-09-25 07:05:57	2020-10-02 16:26:40	key-010	u-000027460
21147	1	29	2022-12-16	2020-09-22 14:51:44	2020-09-19 15:26:40	key-047	u-000021147
47921	3	447	2022-04-24	2020-10-04 02:16:33	2020-10-21 21:26:40	key-021	u-000047921
35902	12	314	2022-05-20	2020-09-28 21:48:32	2020-10-21 02:26:40	key-002	u-000035902
11483	37	381	2022-06-25	2020-09-18 11:15:13	2020-10-03 15:26:40	key-033	u-000011483
169	72	183	2022-06-26	2020-09-13 14:13:42	2020-09-20 13:26:40	key-019	u-000000169
33372	4	604	2022-06-14	2020-09-27 21:30:13	2020-09-29 00:26:40	key-022	u-000033372
657	75	599	2022-10-27	2020-09-13 19:22:46	2020-10-10 21:26:40	key-007	u-000000657
30868	22	76	2022-08-04	2020-09-26 19:04:21	2020-10-19 16:26:40	key-018	u-000030868
51186	67	302	2022-04-04	2020-10-05 12:44:23	2020-09-21 06:26:40	key-036	u-000051186
3683	94	781	2022-02-10	2020-09-15 03:19:14	2020-10-11 23:26:40	key-033	u-000003683
29864	85	48	2022-11-03	2020-09-26 08:28:29	2020-10-19 12:26:40	key-014	u-000029864
43751	4	257	2022-11-20	2020-10-02 06:15:33	2020-10-14 19:26:40	key-001	u-000043751
51845	47	915	2022-01-23	2020-10-05 19:41:45	2020-10-18 17:26:40	key-045	u-000051845
1201	37	407	2022-04-24	2020-09-14 01:07:18	2020-09-21 21:26:40	key-001	u-000001201
6297	89	79	2022-04-10	2020-09-16 06:54:46	2020-09-25 21:26:40	key-047	u-000006297
9461	52	227	2022-12-10	2020-09-17 13:54:37	2020-10-02 17:26:40	key-011	u-000009461
4691	35	837	2022-11-15	2020-09-15 13:57:38	2020-10-12 07:26:40	key-041	u-000004691
2345	17	415	2022-06-12	2020-09-14 13:11:50	2020-09-27 21:26:40	key-045	u-000002345
43702	52	914	2022-10-02	2020-10-02 05:44:31	2020-10-12 18:26:40	key-002	u-000043702
45902	21	314	2022-10-12	2020-10-03 04:57:51	2020-10-21 02:26:40	key-002	u-000045902
49331	55	317	2022-03-05	2020-10-04 17:09:33	2020-09-27 07:26:40	key-031	u-000049331
24574	33	18	2022-05-07	2020-09-24 03:02:10	2020-10-07 10:26:40	key-024	u-000024574
55936	64	552	2022-04-09	2020-10-07 12:28:42	2020-10-22 12:26:40	key-036	u-000055936
23682	14	774	2022-11-26	2020-09-23 17:37:14	2020-10-11 22:26:40	key-032	u-000023682
22577	73	39	2022-11-16	2020-09-23 05:57:24	2020-10-07 13:26:40	key-027	u-000022577
2513	88	591	2022-11-27	2020-09-14 14:58:14	2020-10-04 21:26:40	key-013	u-000002513
43022	51	154	2022-11-21	2020-10-02 00:57:52	2020-09-14 10:26:40	key-022	u-000043022
2237	6	659	2022-02-24	2020-09-14 12:03:26	2020-09-23 09:26:40	key-037	u-000002237
37238	87	666	2022-01-16	2020-09-29 11:54:40	2020-09-23 10:26:40	key-038	u-000037238
23497	23	479	2022-05-25	2020-09-23 15:40:04	2020-10-04 05:26:40	key-047	u-000023497
41853	46	971	2022-09-08	2020-10-01 12:37:30	2020-10-19 01:26:40	key-003	u-000041853
341	50	387	2022-12-15	2020-09-13 16:02:38	2020-09-27 17:26:40	key-041	u-000000341
57608	87	256	2022-11-07	2020-10-08 06:07:38	2020-10-08 20:26:40	key-008	u-000057608
2705	86	935	2022-06-07	2020-09-14 16:59:50	2020-10-12 21:26:40	key-005	u-000002705
13478	92	346	2022-12-12	2020-09-19 08:18:43	2020-10-03 10:26:40	key-028	u-000013478
11953	22	671	2022-10-08	2020-09-18 16:12:53	2020-10-23 05:26:40	key-003	u-000011953
8246	1	722	2022-08-12	2020-09-17 03:29:08	2020-09-23 18:26:40	key-046	u-000008246
52194	8	358	2023-01-07	2020-10-05 20:58:46	2020-09-21 14:26:40	key-044	u-000052194
40378	26	646	2022-08-24	2020-09-30 21:03:20	2020-09-29 06:26:40	key-028	u-000040378
140	43	980	2022-05-28	2020-09-13 13:55:20	2020-09-19 08:26:40	key-040	u-000000140
16779	95	453	2022-12-28	2020-09-20 19:09:21	2020-10-15 23:26:40	key-029	u-000016779
4099	25	693	2022-04-02	2020-09-15 07:42:42	2020-09-17 15:26:40	key-049	u-000004099
23890	28	230	2022-06-22	2020-09-23 19:48:58	2020-10-20 14:26:40	key-040	u-000023890
43185	20	295	2022-05-03	2020-10-02 02:41:06	2020-09-21 05:26:40	key-035	u-000043185
41	41	287	2022-02-18	2020-09-13 12:52:38	2020-09-15 05:26:40	key-041	u-000000041
46478	15	346	2022-05-11	2020-10-03 11:02:39	2020-10-03 10:26:40	key-028	u-000046478
255	61	785	2022-09-20	2020-09-13 15:08:10	2020-09-24 03:26:40	key-005	u-000000255
6235	27	645	2022-02-07	2020-09-16 06:15:30	2020-09-23 07:26:40	key-035	u-000006235
409	21	863	2022-02-21	2020-09-13 16:45:42	2020-09-30 13:26:40	key-009	u-000000409
2893	80	251	2022-12-12	2020-09-14 18:58:54	2020-10-20 17:26:40	key-043	u-000002893
10724	54	68	2022-05-27	2020-09-18 03:14:31	2020-10-13 16:26:40	key-024	u-000010724
57880	68	160	2022-08-06	2020-10-08 08:59:54	2020-10-20 04:26:40	key-030	u-000057880
3515	23	605	2022-08-26	2020-09-15 01:32:50	2020-10-04 23:26:40	key-015	u-000003515
57405	78	835	2022-04-18	2020-10-08 03:59:04	2020-09-30 09:26:40	key-005	u-000057405
2697	78	879	2022-05-30	2020-09-14 16:54:46	2020-10-12 13:26:40	key-047	u-000002697
97	0	679	2022-04-15	2020-09-13 13:28:06	2020-09-17 13:26:40	key-047	u-000000097
59158	85	106	2022-02-05	2020-10-08 22:29:18	2020-09-20 02:26:40	key-008	u-000059158
1555	3	885	2022-04-13	2020-09-14 04:51:30	2020-10-06 15:26:40	key-005	u-000001555
12867	63	69	2022-04-10	2020-09-19 01:51:45	2020-10-19 15:26:40	key-017	u-000012867
44782	65	474	2022-09-17	2020-10-02 17:08:31	2020-10-16 02:26:40	key-032	u-000044782
1926	83	482	2022-04-19	2020-09-14 08:46:28	2020-10-22 02:26:40	key-026	u-000001926
22790	92	530	2022-06-17	2020-09-23 08:12:18	2020-10-16 10:26:40	key-040	u-000022790
545	60	815	2022-07-07	2020-09-13 18:11:50	2020-10-06 05:26:40	key-045	u-000000545
57409	82	863	2022-04-22	2020-10-08 04:01:36	2020-09-30 13:26:40	key-009	u-000057409
29233	36	631	2022-02-10	2020-09-26 01:48:51	2020-09-23 05:26:40	key-033	u-000029233
35365	57	555	2022-11-29	2020-09-28 16:08:26	2020-09-28 17:26:40	key-015	u-000035365
55671	90	697	2022-07-18	2020-10-07 09:40:52	2020-10-11 11:26:40	key-021	u-000055671
9785	85	495	2022-10-30	2020-09-17 17:19:49	2020-10-16 05:26:40	key-035	u-000009785
46396	30	772	2022-02-18	2020-10-03 10:10:43	2020-09-30 00:26:40	key-046	u-000046396
46616	56	312	2022-09-26	2020-10-03 12:30:03	2020-10-09 04:26:40	key-016	u-000046616
9849	52	943	2023-01-02	2020-09-17 18:00:21	2020-10-18 21:26:40	key-049	u-000009849
