8826	96	782	key-026	u-000008826	2022-05-14	2023-11-15 00:40:26.026478
2875	62	125	key-025	u-000002875	2022-07-02	2023-11-14 23:01:15.008625
7757	94	299	key-007	u-000007757	2022-09-22	2023-11-15 00:22:37.023271
273	79	911	key-023	u-000000273	2022-10-08	2023-11-14 22:17:53.000819
14388	32	716	key-038	u-000014388	2022-10-23	2023-11-15 02:13:08.043164
5668	42	676	key-018	u-000005668	2022-10-03	2023-11-14 23:47:48.017004
57886	74	202	key-036	u-000057886	2022-10-21	2023-11-15 14:18:06.173658
39227	39	589	key-027	u-000039227	2022-08-23	2023-11-15 09:07:07.117681
12567	54	969	key-017	u-000012567	2022-10-02	2023-11-15 01:42:47.037701
37972	45	804	key-022	u-000037972	2022-06-29	2023-11-15 08:46:12.113916
5689	63	823	key-039	u-000005689	2022-10-24	2023-11-14 23:48:09.017067
1817	71	719	key-017	u-000001817	2022-01-25	2023-11-14 22:43:37.005451
46667	10	669	key-017	u-000046667	2022-06-24	2023-11-15 11:11:07.140001
12457	41	199	key-007	u-000012457	2022-06-14	2023-11-15 01:40:57.037371
28241	14	687	key-041	u-000028241	2022-02-18	2023-11-15 06:04:01.084723
58190	87	330	key-040	u-000058190	2022-10-25	2023-11-15 14:23:10.174570
23923	61	461	key-023	u-000023923	2022-08-19	2023-11-15 04:52:03.071769
4445	80	115	key-045	u-000004445	2022-09-10	2023-11-14 23:27:25.013335
9029	8	203	key-029	u-000009029	2022-02-06	2023-11-15 00:43:49.027087
30778	29	446	key-028	u-000030778	2022-07-05	2023-11-15 06:46:18.092334
5539	10	773	key-039	u-000005539	2022-05-27	2023-11-14 23:45:39.016617
26678	3	746	key-028	u-000026678	2022-10-13	2023-11-15 05:37:58.080034
16797	16	579	key-047	u-000016797	2022-11-01	2023-11-15 02:53:17.050391
28497	76	479	key-047	u-000028497	2022-11-01	2023-11-15 06:08:17.085491
2413	85	891	key-013	u-000002413	2022-01-21	2023-11-14 22:53:33.007239
15913	5	391	key-013	u-000015913	2022-01-21	2023-11-15 02:38:33.047739
9898	4	286	key-048	u-000009898	2022-11-02	2023-11-15 00:58:18.029694
48306	0	142	key-006	u-000048306	2022-01-14	2023-11-15 11:38:26.144918
16256	57	792	key-006	u-000016256	2022-03-05	2023-11-15 02:44:16.048768
40905	68	335	key-005	u-000040905	2022-04-23	2023-11-15 09:35:05.122715
23145	59	15	key-045	u-000023145	2022-02-22	2023-11-15 04:39:05.069435
50350	7	450	key-000	u-000050350	2022-09-15	2023-11-15 12:12:30.151050
