0	0	\N	\N	0.0	\N	t	\N	key-0000	uniq-000000000	\N	2022-01-08	2023-11-14 22:13:20.000000
1	27799	11799	427799	0.5	0.25	f	f	key-0001	uniq-000000001	s1	2022-01-09	2023-11-14 22:13:21.000003
2	55598	23598	855598	1.0	0.5	f	t	key-0002	uniq-000000002	s2	2022-01-10	2023-11-14 22:13:22.000006
3	83394	27394	283394	1.5	0.75	t	f	key-0003	uniq-000000003	\N	2022-01-11	2023-11-14 22:13:23.000009
4	11193	7193	711193	2.0	1.0	f	t	key-0004	uniq-000000004	s4	2022-01-12	2023-11-14 22:13:24.000012
5	38989	10989	138989	2.5	1.25	f	\N	key-0005	uniq-000000005	s5	2022-01-13	2023-11-14 22:13:25.000015
6	66788	22788	566788	3.0	1.5	t	t	key-0006	uniq-000000006	\N	2022-01-14	2023-11-14 22:13:26.000018
7	94587	\N	994587	3.5	1.75	f	f	key-0007	uniq-000000007	s7	2022-01-15	2023-11-14 22:13:27.000021
8	22383	6383	422383	4.0	2.0	f	t	key-0008	uniq-000000008	s8	2022-01-16	2023-11-14 22:13:28.000024
9	50182	18182	850182	4.5	2.25	t	f	key-0009	uniq-000000009	\N	2022-01-17	2023-11-14 22:13:29.000027
10	77978	21978	277978	5.0	2.5	f	\N	key-0010	uniq-000000010	s10	2022-01-18	2023-11-14 22:13:30.000030
11	5777	1777	\N	5.5	2.75	f	f	key-0011	uniq-000000011	s11	2022-01-19	2023-11-14 22:13:31.000033
12	33573	5573	133573	6.0	3.0	t	t	key-0012	uniq-000000012	\N	2022-01-20	2023-11-14 22:13:32.000036
13	61372	17372	561372	6.5	\N	f	f	key-0013	uniq-000000013	s13	2022-01-21	2023-11-14 22:13:33.000039
14	89171	\N	989171	7.0	3.5	f	t	key-0014	uniq-000000014	s14	2022-01-22	2023-11-14 22:13:34.000042
15	16967	967	416967	7.5	3.75	t	\N	key-0015	uniq-000000015	\N	2022-01-23	2023-11-14 22:13:35.000045
16	44766	12766	844766	8.0	4.0	f	t	key-0016	uniq-000000016	s16	2022-01-24	2023-11-14 22:13:36.000048
